title,company,location,posted,description,applicants,work_mode,link
Consultor Performance Negócios (Cientista / Dados),SulAmérica,"São Paulo, SP",Há 4 dias,"DescriçãoResponsável por centralizar todos os dados e analises da Diretoria, desde as ingestões de dados em ambientes produtivos e, principalmente estudos e geração de insights para tomadas de decisão.Desafios e responsabilidades desta vagaFacilidade para se desenvolver e auxiliar o time em um ambiente de trabalho dinâmico, capaz de priorizartarefas através da compreensão das metas de negócios de curto e longo prazo.Outros RequisitosFluência em SQL,Ferramentas de visualização de dadosPython ou programação R são imprescindíveisExperiência com técnicas de modelagem, como modelos de classificação, séries temporais, análise de sobrevivência, cluster, etc.Superior completoConhecimento profundo estatística (modelagem)Desafio: Manter-se à frente da construção de subsídios para embasamento da estratégia de gestão da diretoria, adaptando-se e aprimorando constantemente as abordagens, algoritmos e modelos para garantir pleno andamento das açõesDesejávelExperiência com o mercado de Saúde;LLM;Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4233975838
Cientista de Dados Senior,CSU Digital,"Barueri, SP",Há 1 mês,"O profissional irá trabalhar com um time multidisciplinar e desempenhar um papel essencial no desenvolvimento de modelos preditivos e algoritmos de IA que impactam diretamente nossos produtos e serviços de meios de pagamento e DX.Responsabilidades e atribuiçõesAnalisar grandes volumes de dados para identificar padrões, tendências e oportunidades de melhoria.Desenvolver e implementar modelos estatísticos e de machine learning para resolver problemas de negócio.Limpeza, preparação e transformação de dados para análises e modelagem preditiva.Colaborar com times de engenharia de dados e produtos para garantir a correta aplicação de soluções baseadas em IA.Elaborar relatórios detalhados e dashboards para comunicar os resultados das análises aos stakeholders.Testar e validar modelos de machine learning, ajustando hiperparâmetros e avaliando a precisão.Participar de todo o ciclo de vida dos modelos de dados, desde a pesquisa até o deploy em produção.Requisitos e qualificaçõesGraduação em Ciência de Dados, Estatística, Matemática, Computação ou áreas correlatas.Forte conhecimento em estatística, análise exploratória de dados e metodologias de machine learning.Experiência com ferramentas e bibliotecas como Python, R, Scikit-learn, TensorFlow, PyTorch.Familiaridade com SQL e manipulação de grandes bases de dados.Conhecimento em técnicas de visualização de dados (Tableau, Power BI).Habilidade em trabalhar com algoritmos de aprendizado supervisionado, não supervisionado e deep learning.Desejável: Experiência com ferramentas de MLOps e deploy de modelos em produção.Informações adicionaisRequisitos Comportamentais:Pensamento crítico: Capacidade de interpretar dados e criar insights acionáveis.Comunicação: Habilidade para traduzir dados complexos em resultados claros para públicos não técnicos.Curiosidade intelectual: Interesse em explorar novas abordagens e técnicas para melhorar a performance dos modelos.Colaboração: Facilidade em trabalhar com equipes de engenharia, produto e stakeholders.Foco em resultados: Capacidade de trabalhar com metas e prazos bem definidos.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4202048317
Data Scientist | Marketing Analytics,DP6,"São Paulo, SP",Há 6 dias,"Nós somos a DP6!Otimizamos a eficiência do Marketing por meio de Ciência de Dados, Tecnologia e Inovação.Somos uma consultoria de Analytics para Marketing. Por meio de tecnologias de exploração de dados (negócios, marketing, analytics, big data), acompanhamos e analisamos todos os pontos de contato entre consumidores e marcas. Com mais de 14 anos de experiência, somos líderes em Martech na América Latina (categoria Analytics and Intelligence), e desde 2012 estamos no ranking do Great Place to Work, sendo considerada a 11ª das melhores empresas para trabalhar no Brasil. Fazemos parte da Brandtech Group, grupo global de tecnologia e marketing, sediado em Nova York, com presença em mais de 40 países.Na DP6, valorizamos a diversidade. Todas as nossas vagas são abertas a profissionais de todos os gêneros, orientações sexuais, crenças, etnias e condições físicas e mentais. Se você é uma pessoa trans ou uma pessoa com deficiência, não deixe de se candidatar!Estamos em busca de um(a) profissional de Data Science para atuar em projetos desafiadores e diretamente aplicados ao universo do Marketing. Se você é apaixonado(a) por estatística e machine learning, tem se aprofundado em inferência causal (causality / causal inference / inferência causal) e inferência bayesiana (bayesian inference / inferência bayesiana), e busca transformar esse conhecimento em soluções inovadoras com impacto real no dia a dia dos negócios, essa pode ser a oportunidade ideal para você.É importante ter raciocínio analítico apurado, visão estratégica, criatividade e entusiasmo por desenvolver e aplicar soluções inovadoras e impactantes para nossos clientes.ResponsabilidadesAplicar técnicas avançadas como inferência bayesiana para melhorar a acurácia e interpretabilidade dos modelos estatísticos;Conduzir estudos de incrementalidade (quasi-experimentos) e modelos de marketing mix modelling (MMM)Interagir com stakeholders internos e externos para identificar oportunidades de análise e propor soluções baseadas em dados;Trabalhar com grandes volumes de dados, incluindo dados de navegação e bases 1st party, para desenvolver projetos como modelos de propensão, churn, sistemas de recomendação, forecasting, atribuição de mídia, segmentações, LTV preditivo e inferência causal;Realizar análise exploratória, limpeza e tratamento de dados, desenvolvimento e monitoramento de modelos estatísticos seguindo metodologias como CRISP-DM e KDD;Compartilhar insights com a equipe e com o cliente por meio de storytelling com dados, dashboards e apresentações estratégicas;Atuar na evolução contínua dos modelos e soluções em produção.RequisitosProgramação em R ou Python para análise de dados;Conhecimento avançado em SQL;Conhecimento e aplicação de técnicas de inferência causal e inferência bayesiana (causal inference, bayesian inference);Estatística descritiva, inferencial, probabilística e testes de hipótese;Experiência com algoritmos de aprendizado supervisionado e não supervisionado;Vivência no ciclo completo de projetos de Data Science.Nossos BenefíciosVale Refeição ou Alimentação;Auxílio Home Office;PLR;Plano de Saúde;Plano Odontológico;Seguro de Vida;Auxílio creche;Saúde e Bem Estar:Horário flexivel, trabalho híbrido;Parceria com a Vittude - plataforma de saúde mental;DP6 Care - apoio jurídico, financeiro e social;Licença Maternidade de 6 meses;Licença paternidade de 20 dias, podendo emendar com férias.Desenvolvimento Profissional:Programa de Educação Continuada (15% do salário anual para ser utilizado como subsídio em cursos, eventos, palestras, workshops, etc), elegível após 3 meses de contratação;Subsídio para cursos de Inglês e Espanhol;Custeio das certificações das ferramentas mais relevantes do mercado (ex: Google, Facebook, Adobe Analytics, Salesforce, etc);Centro de Inovações. 10% do tempo de trabalho dedicado para estudos e inovação;Plano de carreira estruturado;Avaliação de desempenho semestral;Programa de Tutoria de Carreira, desde o início para todos os níveis.Se você tem interesse em usar ciência de dados para transformar o marketing com profundidade estatística e impacto real, a DP6 é o seu lugar!Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4233502413
Banco de Talentos - Profissionais com Deficiência,Cognizant,São Paulo e Região,Há 5 dias,"A Cognizant está sempre à procura de grandes talentos. Estamos procurando candidatos para preencher necessidades futuras dentro do nosso negócio.Este anúncio de emprego representa futuras oportunidades de carreira com a Cognizant. Embora a posição não esteja disponível no momento, queremos dar a você a oportunidade de expressar seu interesse em futuras oportunidades.Conheça a CognizantA Cognizant é uma multinacional norte americana do ramo de TI sediada em Nova Jersey que está no Brasil há mais de 10 anos, com escritórios em São Paulo e Curitiba. Atualmente contamos com um time de mais de mil colaboradores mas, continuamos crescendo exponencialmente e buscamos novos talentos que tenham interesse em uma oportunidade de carreira em uma das maiores empresas de TI do mundo.Conhece As “áreas” Em Que a Cognizant AtuaBanking & Financial Services;Communications;Consumer Goods;Healthcare;Information Media & Entertainment;Insurance;Life Sciences;Manufacturing & Logistics;Technology.Em quais vagas poderei atuar?Agente de Atendimento;Assistente Administrativo;Analista de Administração de Pessoal;Analista de Suporte;Analista Desenvolvedor (Front e Back-end)Analista de Testes de Automação;Analista de Negócios;Analista de Recrutamento e Seleção;Arquiteto de Soluções SAP; (Pessoa Arquiteto)Cientista de Dados;Consultor SAP;Desenvolvedor;Engenheiro de Dados;Diversidade e Inclusão na CognizantEm nossas contratações levamos em consideração o talento e a vontade do candidato em fazer parte da transformação digital de nossos clientes, independente de gênero, idade, orientação sexual, condição física (qualquer tipo de deficiência), etnia ou religião.Para nós, o empoderamento de nossos colaboradores é muito importante, pois acreditamos que nossa equipe é capaz de contribuir com a constante evolução que vivemos no dia a dia.Acreditamos que a diversidade é o catalisador para colocar o poder das nossas diferenças em ação. A diversidade contribui significativamente para um melhor resultado e criatividade.Incentivamos que os candidatos com deficiência (PCD) se candidatem a vaga do seu interesse entre todas as nossas oportunidades disponíveis. Avaliaremos o seu perfil e caso não se encaixe com os requisitos da oportunidade redirecionaremos a sua aplicação. Dessa forma, pedimos que coloque no seu currículo o seu tipo de deficiência e se precisa de alguma acessibilidade para desempenhar o seu trabalho.Obrigado pelo seu interesse em oportunidades de carreira CognizantShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4165752397
Gestor de Tráfego Sênior,V4 Company,"São Paulo, SP",Há 4 dias,"🚀 Faça parte da maior unidade da Rede V4 Company: Colli&CoVaga: Analista de performance, Gestor[a] de Tráfego, Analista de MídiaLocal:Paulista-SP ou Campinas-SPModelo:Pessoa JurídicaContrato:Híbrido/PresencialFaixa salarial:4 mil a 6 mil (conforme senioridade)Responsabilidades:Planejar e executar campanhas de mídia paga (Google Ads, Facebook Ads, etc.) para maximizar conversões e ROI.Desenvolver e gerenciar funis de vendas alinhados às estratégias de marketing.Implementar automações que otimizem processos e aumentem a eficiência das campanhas.Realizar análises avançadas de métricas (CPC, CPA, ROI, LTV, etc.) para identificar oportunidades de melhoria.Configurar e monitorar traqueamento de dados (Google Tag Manager, Pixel do Facebook, etc.).Colaborar com equipes de design, copywriting e vendas para alinhar campanhas às metas do negócio.Requisitos:Experiência comprovada em tráfego pago e estratégias de marketing de performance.Domínio de ferramentas como Google Analytics, Tag Manager, Pixel do Facebook, e plataformas de anúncios.Conhecimento avançado em automação de marketing e integração de ferramentas (ex.: Zapier, ActiveCampaign).Habilidade para analisar dados e gerar relatórios acionáveis.Experiência com estratégias de funil de vendas e otimização de conversão (CRO).Desejável mas não eliminatório:Certificações em marketing digital (Google Ads, Meta Ads, etc).Experiência prévia em startups ou negócios digitais.💼 Benefícios:💎 Seguro de vida: Proteção e segurança para você.🎁 Day off no mês do aniversário: Um dia off para celebrar seu aniversário.📙 Staage: Acesso gratuito à plataforma.📚 Cientista do marketing: Acesso ao curso e várias formações.✈️ OnHappy: Desconto em passagens aéreas.🏖️ Recesso no final do ano.💳 Ifood Benefícios: Ajuda de custo para o presencial.🧠 StarBem: Acesso a uma plataforma de bem-estar.💪🏻 Wellhub (Gympass): Acesso a academias e programas fitness.🦷 Plano odontológico (Bradesco): Cuidados dentários de qualidade.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4230312920
Cientista de Dados Jr. - TI - Data & Analytics (São Paulo/SP),Alares Internet,"São Paulo, SP",Há 1 mês,"Você é curioso(a), apaixonado(a) por dados e quer começar sua jornada transformando números em decisões estratégicas?Venha ser nosso(a)Cientista de Dados Júnior! Aqui, você vai atuar ao lado de um time experiente, participando do desenvolvimento de análises, modelos preditivos e soluções inteligentes que impactam diretamente os nossos resultados.O nosso time de Dados e Tecnologia está de portas abertas te esperando!#vemseralares#vagasalaresinternetPrazo de inscrição para Recrutamento Interno: 16 à 23/05Responsabilidades e atribuiçõesVocê vai fazer aqui:Apoiar na coleta, limpeza e organização de dados de diferentes fontes (estruturadas e não estruturadas);Realizar análises exploratórias para identificar padrões e gerar insights para as áreas de negócio;Contribuir no desenvolvimento de modelos estatísticos, de machine learning e IA generativa, com supervisão do time;Participar da documentação de processos analíticos, pipelines de dados e entregas de projetos;Trabalhar em parceria com as áreas de negócio, BI e engenharia de dados para resolver problemas reais com soluções analíticas.Proporcionar a constante evolução da rotina de trabalho, alinhada as metodologias ágeis.Requisitos e qualificaçõesVocê não pode deixar de ter:Ensino Superior Completo, completo ou em andamento, em Tecnologia, Ciência de Dados, Engenharia, Matemática, Estatística ou áreas afins;Conhecimentos em técnicas de Modelagem de Dados e ETL;Conhecimento básico em linguagens de programação para análise de dados (Preferencialmente Python);Noções de SQL para consultas em bancos de dados relacionais;Familiaridade com conceitos de estatística básica e de machine learning;Conhecimento básico de visualização de dados;Capacidade de organizar e documentar análises;Conhecimento em Metodologias ágeis como o Scrum e Kanban.Perfil colaborativo e proativo, com vontade de aprender e contribuir com o time.Se você tiver, será um diferencial:Já ter trabalhado em projetos práticos, acadêmicos ou pessoais envolvendo análise ou ciência de dados.Conhecimento em ferramentas de Data Warehouse ou bancos como BigQuery;Vivência em disponibilização de dados através do uso de APIs;Experiência em empresas de Telecom;Experiência com versionamento de código (Git/GitHub);Inglês Técnico (para leitura de logs);Conhecimento básico em ferramentas de orquestração de dados como Airflow;Capacidade de explicar conceitos analíticos de forma clara para públicos não técnicos;Conhecimento em Cloud Computing e ecossistema de BIG Data (Preferencialmente GCP).Informações adicionaisVocê terá aqui:Vale Refeição ou Alimentação;Vale Transporte;Plano de Saúde;Seguro de Vida;Participação nos lucros;Desconto nos Pacotes de Internet.Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4214840838
Cientista de Dados JR,Mitsui Sumitomo Seguros,"São Paulo, SP",Há 3 semanas,"DESCRIÇÃOPrincipais AtividadesApoiar na extração, tratamento e organização de dados de diferentes fontes internas e externasRealizar análises exploratórias e desenvolver visualizações que apoiem a compreensão dos dadosReunir dados operacionais para examinar o histórico de desempenho do negócio e apoiar análises qualitativas e quantitativasIdentificar padrões e tendências de dados e contribuir com insights para o processo de melhoria contínuaConstruir dashboards e relatórios automatizados com foco em indicadores estratégicosAuxiliar na criação e va lidação de modelos estatísticos e algoritmos preditivos sob supervisãoTrabalhar em parceria com áreas técnicas e de negócio para suportar decisões com base em dadoApoiar em iniciativas que envolvam o uso de tecnologias de Inteligência Artificial, conforme diretrizes da áreaParticipar de projetos de melhoria contínua de processos analíticos e desenvolvimento técnico da áreaManter-se atualizado sobre ferramentas e tendências em ciência de dados.RequisitosGraduação em Ciência de Dados, Estatística, Engenharia, Matemática, Computação ou similaresExcel (VBA), SQL, Power BI, Python, SAS ou RBenefíciosModelo de Trabalho Híbrido (3 vezes presencial)VR e VAPrevidênciaAssistência MédicaAssistência OdontológicaSeguro de vidaAuxílio creche/ babáAuxílio aos filhos deficientes ou com necessidades especiais – PCD - comprovados -creche/ babáSexta FlexDay Off de aniversárioHorário flexívelCONEXA - (telepsicologia e telenutrição)Cursos na nossa plataforma MSS DesenvolveTotal PassIsenção de tarifa bancária e anuidade de cartão ItaúLocal de trabalho: São Paulo, SPRegime de contratação de tipo: Efetivo – CLTJornada: Período IntegralNível hierárquico: AnalistaREQUISITOSEscolaridade Mínima: Ensino SuperiorShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4224568026
Cientista de Dados - Júnior,IBM,"São Paulo, SP",Há 2 semanas,"IntroductionIn this role you will join IBM Consulting via our world class Associate Program for university hires. As an Associate at IBM Consulting you will have the opportunity to work with a diverse range of clients worldwide. Our clients' technical and business needs are constantly evolving. We're hiring inspired, talented individuals, who believe no problem is too big to solve.We focus on your professional development through ongoing learning, mentorship, development of technical skills, and continuous personal growth, all grounded in a culture of coaching and career advancement. If you see yourself as someone who never stops learning and who wants to unleash your potential, the IBM Consulting Associates Program is for you.A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe.You’ll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including Software and Red Hat.Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you’ll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.Your Role And ResponsibilitiesAre you passionate about data, technology and innovation? Do you want to take the first steps in your Data Science career, working on real projects that impact the business? Come and join our team!As a junior data scientist, you will contribute to the development and adjustment of machine learning models, experimenting with different supervised and unsupervised algorithms. You will work on exploratory data analysis, identifying patterns and trends, and collaborating with data engineers to ensure the proper preparation of datasets.You will also participate in the creation of proofs of concept (PoCs) to validate the technical feasibility of the models, documenting results and analyzing metrics such as precision, recall and F1-score. In addition, you will support the transition of models to production, ensuring reproducibility and alignment with project needs.ResponsibilitiesDeveloping and adjusting machine learning models to solve business challenges.Perform exploratory analysis to identify patterns and trends in data.Collaborating with data engineers to prepare and validate datasets.Participating in the creation of PoCs and documenting model results and metrics.Assisting in the transition of models to production, ensuring reproducibility and alignment with project objectives.Required Technical And Professional ExpertiseExperience in data science, machine learning or related areas.Knowledge of Python for data analysis and modeling.Notions of statistics, probability and machine learning fundamentals.Familiarity with cloud resources for data (Azure, AWS or GCP), especially Azure Machine Learning.Desire to learn and evolve in a collaborative and innovative environment.Preferred Technical And Professional ExperienceExperience or interest in tools such as Azure Cognitive Services, Azure ML AutoML, Azure Container Instances, Azure Databricks and Azure Synapse Analytics.Knowledge of deploying models and monitoring in a cloud environment.Experience in analyzing model performance metrics (precision, recall, F1-score).Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4224757557
Cientista de Dados JR,Mitsui Sumitomo Seguros,São Paulo e Região,Há 3 semanas,"Principais AtividadesApoiar na extração, tratamento e organização de dados de diferentes fontes internas e externasRealizar análises exploratórias e desenvolver visualizações que apoiem a compreensão dos dadosReunir dados operacionais para examinar o histórico de desempenho do negócio e apoiar análises qualitativas e quantitativasIdentificar padrões e tendências de dados e contribuir com insights para o processo de melhoria contínuaConstruir dashboards e relatórios automatizados com foco em indicadores estratégicosAuxiliar na criação e va lidação de modelos estatísticos e algoritmos preditivos sob supervisãoTrabalhar em parceria com áreas técnicas e de negócio para suportar decisões com base em dadoApoiar em iniciativas que envolvam o uso de tecnologias de Inteligência Artificial, conforme diretrizes da áreaParticipar de projetos de melhoria contínua de processos analíticos e desenvolvimento técnico da áreaManter-se atualizado sobre ferramentas e tendências em ciência de dados.RequisitosGraduação em Ciência de Dados, Estatística, Engenharia, Matemática, Computação ou similaresExcel (VBA), SQL, Power BI, Python, SAS ou RBenefíciosModelo de Trabalho Híbrido (3 vezes presencial)VR e VAPrevidênciaAssistência MédicaAssistência OdontológicaSeguro de vidaAuxílio creche/ babáAuxílio aos filhos deficientes ou com necessidades especiais PCD - comprovados -creche/ babáSexta FlexDay Off de aniversárioHorário flexívelCONEXA - (telepsicologia e telenutrição)Cursos na nossa plataforma MSS DesenvolveTotal PassIsenção de tarifa bancária e anuidade de cartão ItaúShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4225154446
Pessoa Cientista de Dados - Vaga afirmativa para mulheres cis e trans,Artefact,"São Paulo, SP",Há 6 horas,"A abertura atual é para a Artefact do Brasil, estamos em modelo Free Office.Quem nós somosNós da Artefact LatAm acreditamos e vivemos uma cultura com base na empatia!Um ambiente de trabalho saudável é um lugar onde todas as vozes são ouvidas, respeitadas e valorizadas.Temos como nosso compromisso a construção de um ambiente mais diverso e inclusivo, porque a empatia é para todas as pessoas, independentemente de etnia, cor, gênero, orientação sexual, identidade de gênero, deficiência ou crença religiosa.Queremos conosco mentes e corações incríveis! Venha ser Artefact!O Que Você Estará FazendoVocê se juntará à nossa equipe de Dados e Consultoria, que ajuda os clientes a transformar e melhorar sua estratégia de dados aplicando análises avançadas para gerar insights que criam valor de negócio a partir de big data e inteligência artificial.Inovar. Você trabalhará com sua equipe, composta por consultores, cientistas de dados, e engenheiros, para identificar as necessidades dos clientes e definir soluções inovadoras.Aprender e Compartilhar. Você trabalhará em uma equipe colaborativa que promove o compartilhamento de conhecimento. Você aprenderá com outras pessoas, compartilhará conhecimento e ficará a par das novidades/atualizações do setor.Desenvolver. Você participará da solução do início ao fim. Com o auxílio de cientistas seniores você gerenciará a concepção e a implementação, além de otimizar o desempenho e a escalabilidade.Atuar em toda a cadeia de valor dos projetos (coleta e tratamento de dados, análise exploratória de dados, aplicação de modelos de aprendizado de máquina, produtização de modelos)Popularizar termos técnicos ou soluções para perfis mais orientados a negócios, pode trabalhar em uma equipe com perfis muito diversificadosPriorizar suas tarefas, respeitar prazos e se levantar a mão em caso de riscos ou problemasO Que Nós Estamos ProcurandoTer cursado um curso de graduação em ciência de dados, aprendizado de máquina, matemática, ciência da computação, estatística, engenharia, economia ou uma área relacionada.Desejável um primeiro conhecimento em estatística e programação (Python/R).Curiosidade: você está sempre buscando soluções inovadoras para seus clientes, você está envolvido em toda a cadeia de valorColaboração: o compartilhamento de conhecimento é essencial para você e você participa ativamente da difusão de informações dentro da ArtefactEmpreendedorismo: você traz soluções, novas ideias, inovaçõesO que oferecemosVR/VTFree office (trabalhe de casa ou de onde quiser!)GympassSeguros: Vida, saúde e odontológicoEncontros Bimestrais (Famoso “Get Together” onde nos encontramos para estarmos juntos, com oficinas, palestras, treinamentos e aquele happy hour!)Woba (pode marcar para trabalhar em coworking onde quiser!)Avaliações semestrais (com oportunidade de promoção)Por que você deveria se juntar a nósArtefact é o lugar para estar: venha e construa o futuro da área de dadosProgresso: cada dia oferece novos desafios e novas oportunidades de aprenderCultura: Empatia e Colaboração está no nosso DNAEmpreendedorismo: você se juntará a uma equipe de empreendedores motivados. Não desistiremos até que façamos uma grande diferença nesta indústria!Junte-se a nós!Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4190168944
