title,company,location,posted,description,applicants,work_mode,link,data_coleta
Consultor / Cientista de Dados,SulAmérica,"São Paulo, São Paulo, Brazil",1 week ago,"A SulAmérica há mais de 129 anos se dedica a entregar Saúde Integral para mais de 7 milhões de clientes por meio de produtos e serviços de Saúde, Odonto, Vida, Previdência e Investimentos. Temos como missão melhorar a vida das pessoas, oferecendo apoio, segurança e autonomia em cada momento e decisão de saúde física, emocional e financeira. Para isso, contamos com mais de 4 mil colaboradores(as) engajados(as) e comprometidos(as).Acreditamos que por meio da inclusão e da diversidade construímos um ambiente seguro e de pertencimento que valoriza e respeita as pessoas integralmente. Assim, incentivamos a candidatura de pessoas com deficiência, de diferentes raças e etnias, gêneros, orientações sexuais, identidades de gênero e gerações para todas as nossas vagas.Principais responsabilidades da vaga:Centralizar todos os dados e analises da Diretoria, desde as ingestões de dados em ambientes produtivos e, principalmente estudos e geração de insights para tomadas de decisão.Pré requisitos:Fluência em SQL,Ferramentas de visualização de dadosPythonouprogramação R são imprescindíveisExperiência com técnicas de modelagem, como modelos de classificação, séries temporais, análise de sobrevivência, cluster, etc.Superior completoConhecimento profundo estatística (modelagem)Desafio: Manter-se à frente da construção de subsídios para embasamento da estratégia de gestão da diretoria, adaptando-se e aprimorando constantemente as abordagens, algoritmos e modelos para garantir pleno andamento das açõesDesejável:Experiência com o mercado de Saúde;LLM;Modelo de trabalho:Atuação 3 vezes por semana na região da Avenida Paulista e 2 dias remoto.O que a SulA vai te proporcionar?Além de um ambiente de inovação e aberto a experimentação:Salário competitivo com o mercado;Vale Refeição e Alimentação - para matar aquela fome;Assistência Média e Odontológica (extensível a dependentes) - Claro, da SulAmérica né!Seguro de vida;Auxílio Creche para papais e mamães;Previdência Privada com uma ajudinha da SulA;Seguro de Vida.A SulAmérica é uma empresa em transformação, com DNA inovador e sempre preocupada em atender as necessidades dos seus clientes com soluções e produtos encantadores. Se identificou? Então vem com a gente e fazer parte desse time #sanguelaranja 🧡🚀Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4236875909,2025-06-24
Data Scientist I,Banco Bradesco,"Osasco, São Paulo, Brazil",1 week ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de Segurança Corporativa?A área de Modelagem, somos protagonistas na jornada de dados à decisão. Atuamos em parceria com as áreas de negócio para identificar desafios e oportunidades, utilizar técnicas avançadas de ciência de dados e ferramentas best-in-class para entregar algoritmos de ML, regras inteligentes e estudos analíticos, com foco em experiência do cliente, mitigação de riscos e eficiência operacional. Planejamos, desenvolvemos, implantamos, sustentamos, monitoramos e governamos soluções de IA aplicadas a Prevenção a Fraudes, PLDFT e Segurança Física. Aqui, dados se transformam em inteligência — e inteligência em ação.Modelo de trabalho :Hibrido - 2x presencialUnidade: Osasco e CuritibaComo será seu dia a dia?Sendo Data Scientist I, atuará na gerência Segurança Corporativa e suas principais atividades serão:Atuar em conjunto com as áreas de negócios identificando problemas e propondo soluções de IA envolvendo modelos preditivos, modelos decisórios, regras e estudos;Utilizar plataformas de Big Data, metodologias estatísticas e de Machine Learning e linguagens de programação como Python, SQL e SAS para desenvolver algoritmos, testar soluções externas, ou realizar estudos pontuais para apoio à tomada de decisão;Monitorar indicadores de desempenho dos modelos em produção, identificando e diagnosticando desvios, e elaborando planos de ação para eventuais correções;Atuar em conjunto com clientes internos, parcerias estratégicas e fornecedores para estabelecer relações eficazes, refinar demandas de desenvolvimento e garantir condução adequada dos planos de ação.Requisitos e QualificaçõesO que você precisa ter ou saber?Superior completo em Estatística, Matemática, Física, Engenharia ou áreas relacionadasExperiência anterior com monitoramento de modelos;Conhecimento de Estatística e Machine Learning;Conhecimento de ferramentas de visualização;Conhecimento de SQL e Python;Desejável conhecimento de Databricks, PySpark e SAS.Será um diferencial se você tiver:Inglês Intermediário para conversação;Conhecimento em Databricks, e python;Experiência com prevenção a fraude.O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4250674820,2025-06-24
Cientista de dados,SulAmérica,"São Paulo, São Paulo, Brazil",1 week ago,"Para o match perfeito acontecer precisa de PESSOAS, com as mais diversas experiências e pontos de vista, para que possamos continuar evoluindo enquanto empresa.Por isso, aqui na SulAmérica, incentivamos a candidatura de pessoas de todas as raças/etnias, orientações sexuais, identidades de gênero, gerações, com ou sem deficiência, para todas as nossas vagas. Afinal, as nossas diferenças é o que nos complementam!#LGBTI+ #PessoasNegras #PcD #50+ #Gerações #PessoasComDeficiênciaComo será o seu dia a dia nessa área:Tratar e analisar grandes conjuntos de dados para identificar padrões, tendências e anomalias que possam indicar atividades de fraude ou abuso.Criar modelos estatísticos e algoritmos para a detecção de fraude/abusos ou má utilização do plano.Trabalhar em estreita colaboração com a equipe de combate à fraude para compartilhar informações, relatar descobertas e auxiliar em investigações.Apresentar resultados por meio de visualizações de dados, como gráficos / dashboards, para tornar as informações acessíveis e compreensíveis para a equipe de combate à fraude.Garantir a segurança e a privacidade dos dados utilizados nas análises, cumprindo os regulamentos de proteção de dados.Documentar descobertas e resultados de análises em relatórios que podem ser usados para investigações, auditorias e relatórios de status.Entre outras atividades.Requisitos necessários para ser Cientista de dados na #SulA:Graduação completa equivalente em Estatística, Matemática, Economia, Ciência da Computação, Engenharia ou campo relacionado.Domínio com linguagens de programação usadas na análise de dados, como Python e R.Conhecimento em SQL e experiência com Google BigQuery.Ter atuado com ciência de dados ou campo similar.Será um diferencial se você tiver:Conhecimento em seguradoras.Local de trabalho:São Paulo – Região da Avenida PaulistaO que a SulA vai te proporcionar?Além de um ambiente de inovação e aberto a experimentação:Salário competitivo com o mercado;Vale Refeição e Alimentação - para matar aquela fome;Assistência Média e Odontológica (extensível a dependentes) - Claro, da SulAmérica né!Seguro de vida;Auxílio Creche para papais e mamães;Previdência Privada com uma ajudinha da SulA;Seguro de Vida.A SulAmérica é uma empresa em transformação, com DNA inovador e sempre preocupada em atender as necessidades dos seus clientes com soluções e produtos encantadores. Se identificou? Então vem com a gente e fazer parte desse time #sanguelaranja 🧡🚀Buscamos pessoas que gostem de desafios e:Sejam colaborativas;Tenham foco no resultado e centralidade em nossos(as) clientes;Saibam se adaptar aos diferentes desafios do dia a dia;Que tenha sempre em mente o inconformismo, propondo soluções inovadoras.O que oferecemos para você:Salário competitivo com o mercado.Vale Refeição e Alimentação.Assistência Médica e Odontológica (extensiva a dependentes) da SulAmérica!Seguro de vida SulAmérica.Auxílio Creche /Babá.Previdência Privada com contrapartida SulAmérica.Programa de Participação nos Resultados.Vale transporte.Se identificou? Então, vem fazer parte do time #SangueLaranja 🧡🚀Sobre nós:Há mais de 129 anos, a SulAmérica tem como missão melhorar a vida das pessoas, oferecendo apoio, segurança e autonomia em todos os momentos. Atendemos 6.8 milhões de clientes por meio de nossos produtos e serviços de Saúde, Odonto, Vida, Previdência e Investimentos. Para tornar isso possível, contamos com o engajamento e a dedicação de mais de 4 mil colaboradores(as) comprometidos(as) com o nosso propósito.Acreditamos que por meio da inclusão e da diversidade construímos um ambiente seguro e de pertencimento que valoriza e respeita as pessoas integralmente. Assim, incentivamos a candidatura de pessoas com deficiência, de diferentes raças e etnias, gêneros, orientações sexuais, identidades de gênero e gerações para todas as nossas vagas.Quer saber mais sobre nós?Acompanhe a gente aqui no LinkedIn e no Instagram: @sulamericaShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4247962292,2025-06-24
Estágio em Cientista de Dados - Vaga afirmativa para pessoas LGBTQIAPN+,Artefact,"São Paulo, São Paulo, Brazil",4 days ago,"A abertura atual é para a Artefact do Brasil, estamos em modelo Free Office.Quem nós somosNós da Artefact LatAm acreditamos e vivemos uma cultura com base na empatia!Um ambiente de trabalho saudável é um lugar onde todas as vozes são ouvidas, respeitadas e valorizadas.Temos como nosso compromisso a construção de um ambiente mais diverso e inclusivo, porque a empatia é para todas as pessoas, independentemente de etnia, cor, gênero, orientação sexual, identidade de gênero, deficiência ou crença religiosa.Queremos conosco mentes e corações incríveis! Venha ser Artefact!O Que Você Estará FazendoVocê se juntará à nossa equipe de Dados e Consultoria, que ajuda os clientes a transformar e melhorar sua estratégia de dados aplicando análises avançadas para gerar insights que criam valor de negócio a partir de big data e inteligência artificial.Inovar. Você trabalhará com sua equipe, composta por consultores, cientistas de dados, e engenheiros, para identificar as necessidades dos clientes e definir soluções inovadoras.Aprender e Compartilhar. Você trabalhará em uma equipe colaborativa que promove o compartilhamento de conhecimento. Você aprenderá com outras pessoas, compartilhará conhecimento e ficará a par das novidades/atualizações do setor.Desenvolver. Você participará da solução do início ao fim. Com o auxílio de cientistas seniores você gerenciará a concepção e a implementação, além de otimizar o desempenho e a escalabilidade.Atuar em toda a cadeia de valor dos projetos (coleta e tratamento de dados, análise exploratória de dados, aplicação de modelos de aprendizado de máquina, produtização de modelos)Popularizar termos técnicos ou soluções para perfis mais orientados a negócios, pode trabalhar em uma equipe com perfis muito diversificadosPriorizar suas tarefas, respeitar prazos e se levantar a mão em caso de riscos ou problemasO Que Nós Estamos ProcurandoEstar cursando um curso de graduação em ciência de dados, aprendizado de máquina, matemática, ciência da computação, estatística, engenharia, economia ou uma área relacionada.Desejável um primeiro conhecimento em estatística e programação (Python/R).Curiosidade: você está sempre buscando soluções inovadoras para seus clientes, você está envolvido em toda a cadeia de valorColaboração: o compartilhamento de conhecimento é essencial para você e você participa ativamente da difusão de informações dentro da ArtefactEmpreendedorismo: você traz soluções, novas ideias, inovaçõesO que oferecemosVR/VTFree office (trabalhe de casa ou de onde quiser!)GympassSeguros: Vida, saúde e odontológicoEncontros Bimestrais (Famoso “Get Together” onde nos encontramos para estarmos juntos, com oficinas, palestras, treinamentos e aquele happy hour!)Woba (pode marcar para trabalhar em coworking onde quiser!)Avaliações semestrais (com oportunidade de promoção)Por que você deveria se juntar a nósArtefact é o lugar para estar: venha e construa o futuro da área de dadosProgresso: cada dia oferece novos desafios e novas oportunidades de aprenderCultura: Empatia e Colaboração está no nosso DNAEmpreendedorismo: você se juntará a uma equipe de empreendedores motivados. Não desistiremos até que façamos uma grande diferença nesta indústria!Junte-se a nós!Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4253479665,2025-06-24
Data Scientist | Business Development,Shopee,"São Paulo, São Paulo, Brazil",2 weeks ago,"About The TeamSobre a ShôAqui na Shô, acreditamos que cada membro de nossa equipe é fundamental para o nosso sucesso, e que diversidade de perspectivas e vivências são essenciais para movimentar nosso negócio e impulsionar o nosso propósito de mudar o mundo para melhor.Fazer parte do nosso time é a oportunidade de se desenvolver dentro de uma cultura de muita agilidade. Se você ama assumir grandes responsabilidades e fazer o que nunca foi feito, a Shô é seu lugar. Aqui você terá grandes desafios, trabalhará em colaboração com um time diverso e contribuirá para o futuro do e-commerce no Brasil, criamos impacto positivo na vida de milhões de pessoas.Modelo de TrabalhoAdotamos um modelo de trabalho híbrido, esse modelo permite que as pessoas ajustem seu ambiente de trabalho de acordo com suas necessidades pessoais, ao mesmo tempo em que promove a colaboração e interação no escritório.Qual será a sua missãoDesenvolver modelos preditivos e de classificação e fornecer insights acionáveis que otimizem o desempenho comercial por meio da tomada de decisões baseadas em dados, garantindo o impacto estratégico da Shopee.Job DescriptionComo será o seu dia a diaDesenvolver e manter modelos preditivos e de classificaçãoAplicar algoritmos avançados de aprendizado de máquina e técnicas estatísticas (por exemplo, Random Forest, XGBoost) para resolver problemas comerciais complexos.Analisar grandes conjuntos de dados para descobrir tendências, padrões e percepções que orientam as decisões estratégicas.Colaborar com equipes multi-funcionais para garantir que as recomendações acionáveis sejam implementadas de forma eficaz.Melhorar continuamente a precisão e a escalabilidade do modelo com base nas necessidades comerciais e nos cenários de dados em evolução.Documentar processos, metodologias e resultados para garantir a transparência e a reprodutibilidade.RequirementsO que você precisa para assumir o desafioEnsino Superior Completo em Engenharia, Estatística, Ciência da Computação e áreas relacionadas;Nível avançado de conhecimento do Microsoft Office e do Excel, SQL e Python;Inglês avançado.BenefíciosAssistência médica e odontológica, estendendo-se aos dependentes;Parceira com Gympass e TotalPass;Vale Refeição/Alimentação flexível;Vale Transporte, Vale Mobilidade ou Estacionamento no local;Benefício flexível;Zenklub;Bônus anual discricionário, atrelado à performance.VEM FAZER HISTÓRIA COM A GENTE.O QUE TE FAZ ÚNICO, NOS FAZ MELHORES! 🧡Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4130577119,2025-06-24
Analista Cientista de Dados III,Serasa Experian,"São Paulo, São Paulo, Brazil",1 week ago,"Company DescriptionA Serasa Experian é a primeira e a maior Datatech do Brasil. Líder em soluções de inteligência para análise de riscos e oportunidades, com foco nas jornadas de crédito, autenticação e prevenção à fraude. Com tecnologia de ponta, inovação e os melhores talentos, transforma a incerteza do risco na melhor decisão, ajudando pessoas a realizarem seus sonhos e empresas de todos os portes e segmentos a prosperarem.Temos 22.000 pessoas operando em 32 países e a cada dia estamos investindo em novas tecnologias, profissionais talentosos e inovação para ajudar todos os clientes a maximizarem cada oportunidade. Com sede corporativa em Dublin, Irlanda, a Experian está listada na Bolsa de Valores de Londres (EXPN) e compõe o índice FTSE 100.Job DescriptionEstamos procurando um Analista Cientista de Dados Sênior para se juntar à nossa equipe.O candidato (a) ideal terá experiência significativa em análise de dados, modelagem estatística e machine learning, além de habilidades avançadas em programação e manipulação de grandes volumes de dados. Este profissional será responsável por liderar projetos de análise de dados, desenvolver modelos preditivos e fornecer insights acionáveis para apoiar a tomada de decisões estratégicas.QualificationsO que buscamos em você!!Graduação em Ciência de Dados, Estatística, Matemática, Computação ou área relacionada;Conhecimento Databricks;Vivência em ambiente Azure será um diferencialProficiência em linguagens de programação como Python e SQL;Conhecimento em Analytics e Machine learning.Habilidade técnica e de negócios.Quais Serão Às Principais AtividadesManutenção e criação de novos modelos de machine learning;Estudos e análises olhando a ótica de insights para negócios;Captação e integração de dados externos via webscrapping e IA;Identificação de padrões internos e como se relacionam com índices e movimentos macroeconômicos;Apresentar resultados e recomendações para stakeholders de diferentes níveis hierárquicos;Testes de hipóteses;Manter-se atualizado com as últimas tendências e tecnologias em ciência de dados.Realizar análises exploratórias e descritivas de grandes conjuntos de dados.Colaborar com equipes multidisciplinares para identificar oportunidades de melhoria e inovação.Additional InformationNa Serasa Experian, acreditamos que a diversidade é fundamental para um ambiente de trabalho mais saudável e inovador, onde todas as pessoas possam trocar experiências e expressar suas ideias. Por isso, contamos com diversas ações para promover um recrutamento inclusivo e apoiar no desenvolvimento profissional das nossas pessoas. Além disso, temos os nossos grupos de afinidade, criados para empoderar e acolher as pessoas de grupos sub-representados:ExperianPride (comunidade LGBTQIAPN+), Ubuntu (equidade racial), Women in Experian (equidade de gênero) e aspire (pessoas com deficiência) e Connecting Generations (gerações).Venha fazer parte dessa transformação!Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking hereShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4223949166,2025-06-24
Data Scientist III,Banco Bradesco,"Osasco, São Paulo, Brazil",6 days ago,"Sobre o BradescoO Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtmResponsabilidades e atribuiçõesO que é o nosso time de GRF - Gerenciamento de Riscos Financeiros?A área de Gerenciamento de Riscos Financeiros tem como missão promover e viabilizar o controle de riscos e a alocação de capital, através de práticas robustas e da certificação da existência, da execução e da efetividade de controles que assegurem níveis aceitáveis de riscos nos processos da Organização, de forma independente, consistente, transparente e integrada.Modelo de trabalho : Híbrido - 3x presencialUnidade: Osasco/SPComo será seu dia a dia?Sendo Data Scientist III, atuará na gerência Análise de Risco de Crédito - PJ e suas principais atividades serão:Desenvolvimento de modelos de risco de crédito;Desenvolvimento, monitoramento e atualização de modelos para mensuração de capital e perda esperada para a carteira de atacado;Realização de estudos de capital para carteira de crédito.Requisitos e QualificaçõesO que você precisa ter ou saber?Graduação completa em Estatística, Matemática, Física, Engenharias, Ciências atuariais, Economia e áreas correlatas;Vivência com Python;Vivência com SAS;Vivência com análise de dados;Vivência com risco de crédito;Conhecimento em produtos bancários;Será um diferencial se você tiver:Inglês nível intermediário;O que nós oferecemosNo Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias:PLR ou Bônus: Conforme a elegibilidade de cargo*Convênio MédicoConvênio OdontológicoSeguro de VidaVale AlimentaçãoVale Refeição13º Cesta AlimentaçãoTotal PassVale Transporte (adesão opcional)Descontos em produtos e serviços em empresas parceirasPrevidência Privada (adesão opcional, com participação financeira da Organização Bradesco)Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vidaUnibrad: Universidade Corporativa BradescoIsenção de Tarifas: condições especiais em diversos produtos e serviçosAuxílio Creche ou BabáLicença Paternidade estendida de 20 diasLicença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-partoShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4252817493,2025-06-24
Data Scientist Consultant,Núclea,"São Paulo, São Paulo, Brazil",2 weeks ago,"Queremos você para gerar ainda mais valor!A Núclea é uma empresa que acredita no futuro com ações no presente com transações financeiras feitas de forma rápida, segura e acessível. Somos especialistas em infraestrutura e soluções de pagamentos digitais, e trabalhamos para transformar o mercado financeiro, tornando-o mais eficiente e inclusivo.Nossos valores são a base de tudo o que fazemos.Apaixonados por clientes. Estamos sempre buscando entender suas necessidades e encontrar soluções que atendam às suas expectativas.Gente que gosta de gente. Investimos no desenvolvimento de nossos colaboradores e criamos um ambiente de trabalho que valoriza a diversidade e a inclusão.Integridade faz parte do nosso DNA. Agimos com ética e transparência em todos os nossos relacionamentos.Somos direcionados por dados. Análise e solução ágil fazem parte da empolgação em ter consistência no uso de inteligência de dados.Inovação na veia. Estamos sempre buscando novas soluções para atender às necessidades de nossos clientes e do mercado.Fanáticos por resultados.Nos movem e nos motivam a assertividade para nossos parceiros e clientes.Sobre a Núcleahttps://www.nuclea.com.br/A Núclea é uma empresa brasileira de tecnologia com sede em São Paulo. Fundada em 2010, a empresa oferece uma ampla gama de soluções de infraestrutura e pagamentos digitais para empresas de todos os portes.Uma empresa comprometida com a responsabilidade social e ambiental. A empresa acredita que a tecnologia pode ser usada para promover o desenvolvimento sustentável e a inclusão social.Para todas as posições consideramos DIVERSIDADE E INCLUSÃO!Se vocêé apaixonado(a) por tecnologia, quer fazer a diferença na vida das pessoas e acredita em um futuro mais eficiente e inclusivo,a Núclea é o Lugar certo para você.Essa é a chance para você mudar a sua vida, corra e se inscreva!Responsabilidades e atribuiçõesProduzir, testar e experimentar modelos estatísticos aplicados as diferente áreas de negócio;Criar, manter e atualizar relatórios analíticos para a squad e para o negócio;Trazer insights e conduzir experimentos junto as áreas de negócios;Desenvolver modelos preditivos com técnicas de machine learning para resolução de problemas de negócio;Auxiliar o time de negócios e comercial em apresentações de produtos da empresa para potenciais clientes;Elaborar apresentações técnicas para discussão e demonstração de resultados de análises e modelos para stakeholders técnicos da companhia.Requisitos e qualificaçõesMachine Learning;Modelagem Estatística;Análise de dados;Python;Pyspark (diferencial);Capacidade de aprender novas linguagens de programação e frameworks de modelagem e análise é indispensável;Capacidade e hábito em ler documentações técnicas de pacotes estatísticos e de Machine Learning é essencial;Versionamento de código em GIT;Pacote Office;Inglês – Avançado (especialmente leitura, para consultar documentação de linguagens de programação e algoritmos em inglês).FormaçãoEnsino Superior Completo em uma ou mais destas áreas: ciência da computação, estatística, engenharias, economia, matemática ou áreas congêneres;Mestrado e/ou doutorado nestas áreas é um diferencial;MBA em Data Science é um diferencial.Informações adicionaisModelo de trabalho: híbrido (2x por semana no escritório).Salário compatível com o mercado - CLT.Benefícios:Convênio Médico e Odontológico;Vale Refeição - Caju;Seguro de Vida;Auxilio Home Office;PLR;Previdência Privada;Auxílio creche;Wellhub (Gympass).Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4240471116,2025-06-24
Data Scientist Specialist,iFood,"Osasco, São Paulo, Brazil",2 weeks ago,"Nosso Modo de Fazer no Time:Transforme sua carreira com o iFood! Somos uma empresa brasileira de tecnologia referência na América Latina. Por meio de soluções inovadoras, conectamos milhares de restaurantes a milhões de consumidores diariamente com uma média de 100 milhões de pedidos mensais. Além do delivery de comida, também somos Mercado, Farmácia e Pet. Temos também o iFood Pago, nossa Fintech, que engloba o iFood Benefícios, o vale alimentação e refeição do iFood e o próprio iFood Pago, o banco do restaurante. Junte-se a nós e faça parte de uma equipe que está sempre à frente com tecnologia de ponta e inovação constante.Seu Cardápio Diário:Aprimorar o processo de otimização de rotas, proporcionando as melhores soluções.Colaborar com os times de Produto, buscando balancear os KPI's de logística.Atuar no desenvolvimento e inovação do otimizador de rotas, priorizando melhorias disruptivas e a análise do impacto potencial dos principais KPI's, com o objetivo de transformar o futuro do produto.Contribuir para o acompanhamento e roterização de entregas, garantindo a satisfação do cliente.Colaborar com o time de Engenharia backend no desenvolvimento de soluções escaláveis e seguras, seguindo as melhores práticas de desenvolvimento.Ingredientes Que Buscamos:Experiência em pesquisa operacional e matemática aplicada.Alto nível de habilidades de programação em Rust, SQL, Python e PySpark.Vivência em empresas do segmento logístico ou com gestão de rotas e entregas.Experiência em processamento de dados em alta escala e em tempo real.Conhecimento em arquitetura de microserviços.Capacidade de ler e interpretar artigos científicos, propondo soluções aplicáveis.Vivência com algoritmos de otimização e análise de dados.Inglês intermediário: Ser capaz de colaborar com a equipe alocada na França, gerenciando diferenças entre fuso horário e sendo capaz de manter a comunicação de forma eficaz.Para Realçar o Sabor:Forte background acadêmico com foco em roterização de entregas e problemas logísticos.Interesse ou conhecimento prévio em LLM e Machine Learning.Capacidade de resolver problemas complexos de alta escala.Autodidata com vontade de aprender continuamente.Buscamos uma pessoa apaixonada por tecnologia e inovação, que esteja sempre em busca de novos aprendizados e que goste de desafios. Se você se identifica com este perfil, adoraríamos conhecer você!Ref.28078Show moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4245719640,2025-06-24
Cientista de dados Especialista - Banco de talentos,Serasa Experian,"São Paulo, São Paulo, Brazil",5 days ago,"Company DescriptionA Serasa Experian é a primeira e a maior Datatech do Brasil. Líder em soluções de inteligência para análise de riscos e oportunidades, com foco nas jornadas de crédito, autenticação e prevenção à fraude. Com tecnologia de ponta, inovação e os melhores talentos, transforma a incerteza do risco na melhor decisão, ajudando pessoas a realizarem seus sonhos e empresas de todos os portes e segmentos a prosperarem.Temos 22.000 pessoas operando em 32 países e a cada dia estamos investindo em novas tecnologias, profissionais talentosos e inovação para ajudar todos os clientes a maximizarem cada oportunidade. Com sede corporativa em Dublin, Irlanda, a Experian está listada na Bolsa de Valores de Londres (EXPN) e compõe o índice FTSE 100.Job DescriptionRealizar estudos para buscar oportunidades de otimização e melhoria nos produtos com estudos estatístico;Modelagem preditiva para o crescimento da performance e receita dos produtos;Desenvolver estudos Ad Hoc e análises estatísticas de acordo com a necessidade do cliente;Desenvolver modelos de machine learning;Trabalhar com inteligência artificial generativa;Iniciativas para mapear o funcionamento do negócio e buscar ativamente melhorias e eficiência nos modelos.QualificationsVisão de negócio para entender a necessidade do produto e traduzir em uma solução estratégica utilizando estatística ou métodos matemáticos;Capacidade de se comunicar de forma colaborativa com as demais equipes demandantes ou de tecnologia;Habilidade em mensurar e analisar os ganhos da estratégia do uso de dados;Possuir conhecimentos de programação em SQL, Python;Experiência em modelagem estatística;Diferencial conhecimento em Spark e nuvem AWS e Azure.Additional InformationNão atendeu todas as competências descritas na vaga? Estudos mostram que mulheres, pessoas não brancas e PcD deixam de se candidatar em vagas que não atendam 100% dos requerimentos. Aqui na Serasa Experian nós somos dedicados a criar um ambiente diverso e inclusivo. Se você gostou dessa vaga mas sua experiência não se encaixa totalmente, não se preocupe, nós te encorajamos a se aplicar de qualquer forma para que seu perfil seja avaliado!Temos importantes reconhecimentos do mercado como selo Ideia Sustentável e WEPS – Empresas empoderando mulheres. Além disso, fomos considerados, pela quinta vez consecutiva, uma das empresas mais inovadoras do mundo pela revista Forbes.Temos muito cuidado com o bem-estar dos nossos colaboradores! Em nossos escritórios, mantemos uma estrutura que conta com diversos profissionais e serviços ligados à saúde como massagem, RPG, psicólogo, sala de relaxamento e muito mais! Além disso, temos alguns benefícios diferenciais como licença maternidade e paternidade estendida, horário de trabalho flexível, programa de participação nos lucros e resultados e o Share Saving - programa de ações para todos os funcionários da Experian!E ainda tem mais! Não deixe de acessar a nossa página de carreiras para conhecer todos os nossos benefícios e diferenciais!Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking hereShow moreShow less",N/A,On-site/Hybrid,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3957740011,2025-06-24
